sub	cell	channel	voltage	switch	incongruency	coronal	sagittal	SC_RT	MC_RT	old_IAT	IAT_2003
6	congruent_stay	CP3	9.600787	0	0	3	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	CPZ	9.595507	0	0	3	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	CZ	4.029385	0	0	2	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	FC4	-0.625843	0	0	1	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	C3	6.35076	0	0	2	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	FCZ	-4.662749	0	0	1	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	FZ	-8.471328	0	0	0	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	F4	-6.864502	0	0	0	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	FC3	-1.604027	0	0	1	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_stay	F3	-6.261572	0	0	0	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	PZ	9.735788	1	0	4	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	P4	10.077548	1	0	4	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	CP4	5.648384	1	0	3	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	C4	2.061017	1	0	2	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	P3	9.028321	1	0	4	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	CP3	5.49153	1	0	3	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	CPZ	5.207718	1	0	3	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	CZ	0.140669	1	0	2	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	FC4	-3.014269	1	0	1	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	C3	1.987861	1	0	2	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	FCZ	-7.330356	1	0	1	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	FZ	-8.754351	1	0	0	1	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	F4	-7.921101	1	0	0	2	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	FC3	-3.955731	1	0	1	0	58.16555	33.64045	0.02704164	0.1207557
6	congruent_switch	F3	-6.791726	1	0	0	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	PZ	7.127748	0	1	4	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	P4	7.228532	0	1	4	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	CP4	3.844325	0	1	3	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	C4	1.233069	0	1	2	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	P3	7.472404	0	1	4	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	CP3	4.82393	0	1	3	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	CPZ	3.019593	0	1	3	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	CZ	-0.975483	0	1	2	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	FC4	-1.319133	0	1	1	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	C3	3.219088	0	1	2	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	FCZ	-4.741254	0	1	1	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	FZ	-4.674014	0	1	0	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	F4	-3.884897	0	1	0	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	FC3	0.128888	0	1	1	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_stay	F3	-1.803594	0	1	0	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	PZ	8.735538	1	1	4	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	P4	9.893956	1	1	4	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	CP4	6.035854	1	1	3	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	C4	2.041563	1	1	2	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	P3	8.548294	1	1	4	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	CP3	4.281738	1	1	3	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	CPZ	3.807286	1	1	3	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	CZ	-0.651013	1	1	2	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	FC4	-1.640962	1	1	1	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	C3	1.950192	1	1	2	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	FCZ	-5.320561	1	1	1	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	FZ	-6.512593	1	1	0	1	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	F4	-5.841836	1	1	0	2	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	FC3	-2.048358	1	1	1	0	58.16555	33.64045	0.02704164	0.1207557
6	incongruent_switch	F3	-4.108813	1	1	0	0	58.16555	33.64045	0.02704164	0.1207557
7	congruent_stay	PZ	9.581378	0	0	4	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	P4	10.119043	0	0	4	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	CP4	7.5708	0	0	3	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	C4	2.717509	0	0	2	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	P3	9.731462	0	0	4	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	CP3	7.637696	0	0	3	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	CPZ	5.472782	0	0	3	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	CZ	1.804137	0	0	2	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	FC4	-0.610191	0	0	1	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	C3	4.243765	0	0	2	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	FCZ	-3.862645	0	0	1	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	FZ	-4.907612	0	0	0	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	F4	-4.598923	0	0	0	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	FC3	-0.553793	0	0	1	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_stay	F3	-3.553742	0	0	0	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	PZ	6.814716	1	0	4	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	P4	8.841207	1	0	4	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	CP4	6.653568	1	0	3	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	C4	2.776067	1	0	2	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	P3	8.604879	1	0	4	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	CP3	6.36655	1	0	3	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	CPZ	3.659314	1	0	3	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	CZ	0.658138	1	0	2	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	FC4	-0.17059	1	0	1	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	C3	3.719926	1	0	2	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	FCZ	-2.487356	1	0	1	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	FZ	-2.888373	1	0	0	1	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	F4	-3.231415	1	0	0	2	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	FC3	0.088358	1	0	1	0	42.6176	169.9955	0.285930433	1.2286988
7	congruent_switch	F3	-2.390258	1	0	0	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	PZ	5.913115	0	1	4	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	P4	4.450017	0	1	4	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	CP4	1.627295	0	1	3	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	C4	-2.02023	0	1	2	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	P3	6.793467	0	1	4	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	CP3	3.491369	0	1	3	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	CPZ	0.57466	0	1	3	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	CZ	-3.600112	0	1	2	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	FC4	-4.132595	0	1	1	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	C3	0.350445	0	1	2	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	FCZ	-6.891726	0	1	1	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	FZ	-7.952809	0	1	0	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	F4	-7.186706	0	1	0	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	FC3	-3.290907	0	1	1	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_stay	F3	-5.789552	0	1	0	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	PZ	5.462677	1	1	4	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	P4	6.017938	1	1	4	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	CP4	2.87558	1	1	3	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	C4	-0.501414	1	1	2	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	P3	7.052148	1	1	4	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	CP3	3.725471	1	1	3	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	CPZ	1.323944	1	1	3	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	CZ	-2.369286	1	1	2	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	FC4	-2.954628	1	1	1	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	C3	0.863664	1	1	2	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	FCZ	-4.718759	1	1	1	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	FZ	-5.565221	1	1	0	1	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	F4	-6.137273	1	1	0	2	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	FC3	-2.523393	1	1	1	0	42.6176	169.9955	0.285930433	1.2286988
7	incongruent_switch	F3	-4.873189	1	1	0	0	42.6176	169.9955	0.285930433	1.2286988
8	congruent_stay	PZ	-4.112013	0	0	4	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	P4	3.479377	0	0	4	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	CP4	0.065224	0	0	3	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	C4	-4.537629	0	0	2	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	P3	1.743957	0	0	4	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	CP3	-2.696901	0	0	3	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	CPZ	-4.164416	0	0	3	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	CZ	-4.141301	0	0	2	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	FC4	-7.463804	0	0	1	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	C3	-6.566611	0	0	2	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	FCZ	-11.558104	0	0	1	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	FZ	-11.503274	0	0	0	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	F4	-9.831652	0	0	0	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	FC3	-10.685069	0	0	1	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_stay	F3	-11.446391	0	0	0	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	PZ	2.965062	1	0	4	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	P4	9.78394	1	0	4	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	CP4	6.198541	1	0	3	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	C4	0.835161	1	0	2	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	P3	7.008925	1	0	4	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	CP3	0.955789	1	0	3	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	CPZ	2.867321	1	0	3	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	CZ	2.922137	1	0	2	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	FC4	-3.852606	1	0	1	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	C3	-2.938274	1	0	2	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	FCZ	-7.740411	1	0	1	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	FZ	-7.772528	1	0	0	1	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	F4	-7.443107	1	0	0	2	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	FC3	-7.628461	1	0	1	0	72.6511	164.5831	0.22150265	0.8665065
8	congruent_switch	F3	-8.828665	1	0	0	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	PZ	-3.026908	0	1	4	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	P4	3.338062	0	1	4	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	CP4	0.633393	0	1	3	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	C4	-3.261236	0	1	2	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	P3	1.196963	0	1	4	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	CP3	-2.554349	0	1	3	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	CPZ	-3.026628	0	1	3	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	CZ	-3.060478	0	1	2	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	FC4	-5.90537	0	1	1	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	C3	-5.880315	0	1	2	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	FCZ	-9.974631	0	1	1	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	FZ	-9.988039	0	1	0	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	F4	-8.344176	0	1	0	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	FC3	-8.647635	0	1	1	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_stay	F3	-8.961789	0	1	0	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	PZ	1.421592	1	1	4	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	P4	6.88528	1	1	4	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	CP4	4.216682	1	1	3	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	C4	0.371148	1	1	2	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	P3	4.192472	1	1	4	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	CP3	0.080691	1	1	3	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	CPZ	1.386413	1	1	3	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	CZ	1.391073	1	1	2	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	FC4	-3.411002	1	1	1	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	C3	-2.383742	1	1	2	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	FCZ	-7.151652	1	1	1	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	FZ	-7.11348	1	1	0	1	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	F4	-5.617511	1	1	0	2	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	FC3	-5.366049	1	1	1	0	72.6511	164.5831	0.22150265	0.8665065
8	incongruent_switch	F3	-6.275328	1	1	0	0	72.6511	164.5831	0.22150265	0.8665065
9	congruent_stay	PZ	3.134162	0	0	4	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	P4	3.942575	0	0	4	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	CP4	2.740432	0	0	3	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	C4	1.817767	0	0	2	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	P3	4.955877	0	0	4	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	CP3	2.927784	0	0	3	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	CPZ	2.253522	0	0	3	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	CZ	2.013144	0	0	2	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	FC4	1.496099	0	0	1	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	C3	2.087892	0	0	2	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	FCZ	1.694242	0	0	1	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	FZ	0.813333	0	0	0	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	F4	0.669237	0	0	0	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	FC3	1.606049	0	0	1	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_stay	F3	0.778689	0	0	0	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	PZ	3.950345	1	0	4	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	P4	4.049395	1	0	4	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	CP4	2.953968	1	0	3	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	C4	2.399352	1	0	2	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	P3	4.343404	1	0	4	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	CP3	3.274667	1	0	3	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	CPZ	2.270628	1	0	3	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	CZ	2.177123	1	0	2	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	FC4	2.201117	1	0	1	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	C3	2.654597	1	0	2	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	FCZ	2.096058	1	0	1	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	FZ	1.686059	1	0	0	1	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	F4	1.602419	1	0	0	2	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	FC3	2.531469	1	0	1	0	181.27775	262.83935	0.127571016	0.7678545
9	congruent_switch	F3	1.572693	1	0	0	0	181.27775	262.83935	0.127571016	0.7678545
9	incongruent_stay	PZ	0.010251	0	1	4	1	181.27775	262.83935	0.127571016	0.7678545
9	incongruent_stay	P4	1.361603	0	1	4	2	181.27775	262.83935	0.127571016	0.7678545
9	incongruent_stay	CP4	0.376271	0	1	3	2	181.27775	262.83935	0.127571016	0.7678545
9	incongruent_stay	C4	0.383645	0	1	2	2	181.27775	262.83935	0.127571016	0.7678545
9	incongruent_stay	P3	0.075694	0	1	4	0	181.27775	262.83935	0.127571016	0.7678545
9	incongruent_stay	CP3	-0.443425	0	1	3	0	181.27775	262.83935	0.127571016	0.7678545
9	incongruent_stay	CPZ	-1.319185	0	1	3	1	181.27775	262.83935	0.127571016	0.7678545
9	incongruent_stay	CZ	-1.326041	0	1	2	1	181.27775	262.83935	0.127571016	0.7678545
