"Subject"	"Code"	"Congruency"	"Task"	"Gender"	"Race"	"Valence"	"Switch"	"ResponseCode"	"Accuracy"	"RT"	"cumTime"	"logRT"
"6"	70	"congruent"	"Word"	NA	NA	"Bad"	"Stay"	9.25	0.75	173	24189.25	5.12200414154926
"6"	70	"congruent"	"Word"	NA	NA	"Bad"	"Switch"	11.2666666666667	0.933333333333333	184.333333333333	19542.4	5.18950081505032
"6"	70	"congruent"	"Word"	NA	NA	"Bad"	NA	12	1	247	332	5.50938833662798
"6"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"	11	1	156	25687.25	5.04473010405334
"6"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"	10.4	0.933333333333333	199.133333333333	20971.2666666667	5.28097433026717
"6"	70	"incongruent"	"Word"	NA	NA	"Bad"	NA	11	1	284	281	5.64897423816121
"6"	80	"congruent"	"Word"	NA	NA	"Good"	"Stay"	11	1	131	712	4.87519732320115
"6"	80	"congruent"	"Word"	NA	NA	"Good"	"Switch"	10.0526315789474	0.894736842105263	156	21068.1578947368	5.03471321710232
"6"	80	"incongruent"	"Word"	NA	NA	"Good"	"Stay"	12	1	183	698	5.20948615284142
"6"	80	"incongruent"	"Word"	NA	NA	"Good"	"Switch"	11.4210526315789	0.947368421052632	235.368421052632	22344.1578947368	5.34183563145552
"7"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"	11.0833333333333	0.916666666666667	121.083333333333	14840.75	4.78998161644024
"7"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	131.125	17272.875	4.86723366951659
"7"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	163.25	17911.6666666667	5.08591720041448
"7"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	210.75	20680.5	5.30538249351513
"7"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"	12	1	126.4	18701.1	4.83572283572132
"7"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	136.888888888889	12614.6666666667	4.9114100537166
"7"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"	12	1	146.2	22364.5	4.97980335609569
"7"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	160.777777777778	15324.8888888889	5.06994447394828
"7"	62	"congruent"	"Name"	"Female"	"White"	NA	"Stay"	11	1	124.818181818182	14337.5454545455	4.82296088112002
"7"	62	"congruent"	"Name"	"Female"	"White"	NA	"Switch"	9.875	0.875	113.125	18411.75	4.71435475147144
"7"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"	10.1818181818182	0.909090909090909	161.818181818182	17313.5454545455	5.06010208469744
"7"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	168.125	22124.75	5.11814621827932
"7"	63	"congruent"	"Name"	"Male"	"White"	NA	"Stay"	11.0769230769231	1	122	14834.6153846154	4.79121940418531
"7"	63	"congruent"	"Name"	"Male"	"White"	NA	"Switch"	11.1	1	126.2	17206.8	4.83269633195323
"7"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"	11.0769230769231	1	161.615384615385	17902.3076923077	5.05835607421057
"7"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"	11.1	1	172.6	20656.5	5.13180170889159
"7"	70	"congruent"	"Word"	NA	NA	"Bad"	"Stay"	12	1	132.75	19428.25	4.88658807484621
"7"	70	"congruent"	"Word"	NA	NA	"Bad"	"Switch"	12	1	125.866666666667	15839.3333333333	4.82113985532517
"7"	70	"congruent"	"Word"	NA	NA	"Bad"	NA	12	1	162	261	5.08759633523238
"7"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"	11	1	152.75	23377.5	5.02595141648697
"7"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"	10.4	0.933333333333333	176.666666666667	19066.4	5.13996080059566
"7"	70	"incongruent"	"Word"	NA	NA	"Bad"	NA	11	1	191	378	5.25227342804663
"7"	80	"congruent"	"Word"	NA	NA	"Good"	"Stay"	11	1	117	555	4.76217393479776
"7"	80	"congruent"	"Word"	NA	NA	"Good"	"Switch"	10.5263157894737	0.947368421052632	125.368421052632	16986.7894736842	4.81703282526726
"7"	80	"incongruent"	"Word"	NA	NA	"Good"	"Stay"	1	0	122	701	4.80402104473326
"7"	80	"incongruent"	"Word"	NA	NA	"Good"	"Switch"	10.8421052631579	0.894736842105263	180	20410	5.1785708534396
"8"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	127.666666666667	16366.75	4.84392389659199
"8"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	162.125	18925.625	5.06656523199881
"8"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"	12	1	132.5	18411.5833333333	4.88088493441892
"8"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"	10.625	0.875	194.875	21758.625	5.23342067013566
"8"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"	10.9	0.9	125	20442.3	4.82437610991347
"8"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	139.444444444444	14005.2222222222	4.92781492574565
"8"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"	12	1	138.8	23385.1	4.90734866677028
"8"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	180.555555555556	15882.2222222222	5.17472767493289
"8"	62	"congruent"	"Name"	"Female"	"White"	NA	"Stay"	11	1	149.454545454545	15837.2727272727	4.98853919437382
