sub	cell	channel	early_mean	late_mean	switch	incongruency	coronal	sagittal	SC_RT	CE_RT	old_IAT	IAT_2003
5	incongruent_switch	FC3	0.243641	-1.710566	1	1	1	0	110.8312	152.2565	0.181220301	0.7373759
5	incongruent_switch	F3	-0.870672	-4.011531	1	1	0	0	110.8312	152.2565	0.181220301	0.7373759
6	congruent_stay	PZ	12.955297	12.438077	0	0	4	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	P4	11.022863	9.130071	0	0	4	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	CP4	8.196335	9.19254	0	0	3	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	C4	4.873161	8.308482	0	0	2	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	P3	12.241511	11.448602	0	0	4	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	CP3	9.600787	11.177736	0	0	3	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	CPZ	9.595507	12.340043	0	0	3	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	CZ	4.029385	8.308382	0	0	2	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	FC4	-0.625843	4.355582	0	0	1	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	C3	6.35076	9.552097	0	0	2	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	FCZ	-4.662749	0.500865	0	0	1	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	FZ	-8.471328	-4.032427	0	0	0	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	F4	-6.864502	-1.617604	0	0	0	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	FC3	-1.604027	1.885131	0	0	1	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_stay	F3	-6.261572	-2.341414	0	0	0	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	PZ	9.735788	9.34478	1	0	4	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	P4	10.077548	8.496298	1	0	4	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	CP4	5.648384	8.079417	1	0	3	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	C4	2.061017	7.241887	1	0	2	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	P3	9.028321	8.149134	1	0	4	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	CP3	5.49153	8.050305	1	0	3	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	CPZ	5.207718	8.983893	1	0	3	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	CZ	0.140669	5.653192	1	0	2	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	FC4	-3.014269	3.774705	1	0	1	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	C3	1.987861	6.442714	1	0	2	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	FCZ	-7.330356	-0.299764	1	0	1	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	FZ	-8.754351	-2.47757	1	0	0	1	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	F4	-7.921101	-1.212625	1	0	0	2	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	FC3	-3.955731	1.432697	1	0	1	0	58.16555	33.64045	0.118960769	0.1207557
6	congruent_switch	F3	-6.791726	-1.460281	1	0	0	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	PZ	7.127748	4.942304	0	1	4	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	P4	7.228532	4.474655	0	1	4	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	CP4	3.844325	4.318887	0	1	3	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	C4	1.233069	4.816893	0	1	2	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	P3	7.472404	5.571538	0	1	4	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	CP3	4.82393	5.980938	0	1	3	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	CPZ	3.019593	5.266332	0	1	3	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	CZ	-0.975483	3.741363	0	1	2	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	FC4	-1.319133	3.768348	0	1	1	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	C3	3.219088	6.235781	0	1	2	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	FCZ	-4.741254	0.515062	0	1	1	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	FZ	-4.674014	-0.107285	0	1	0	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	F4	-3.884897	1.124212	0	1	0	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	FC3	0.128888	3.345943	0	1	1	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_stay	F3	-1.803594	1.012157	0	1	0	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	PZ	8.735538	7.127097	1	1	4	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	P4	9.893956	6.53494	1	1	4	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	CP4	6.035854	6.039688	1	1	3	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	C4	2.041563	5.082089	1	1	2	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	P3	8.548294	7.553092	1	1	4	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	CP3	4.281738	5.394705	1	1	3	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	CPZ	3.807286	6.206424	1	1	3	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	CZ	-0.651013	3.418055	1	1	2	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	FC4	-1.640962	2.475949	1	1	1	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	C3	1.950192	4.123566	1	1	2	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	FCZ	-5.320561	-1.037036	1	1	1	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	FZ	-6.512593	-3.54755	1	1	0	1	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	F4	-5.841836	-2.052295	1	1	0	2	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	FC3	-2.048358	0.318434	1	1	1	0	58.16555	33.64045	0.118960769	0.1207557
6	incongruent_switch	F3	-4.108813	-2.720482	1	1	0	0	58.16555	33.64045	0.118960769	0.1207557
7	congruent_stay	PZ	9.581378	6.01697	0	0	4	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	P4	10.119043	6.729554	0	0	4	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	CP4	7.5708	6.540713	0	0	3	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	C4	2.717509	3.637024	0	0	2	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	P3	9.731462	4.716933	0	0	4	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	CP3	7.637696	5.428202	0	0	3	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	CPZ	5.472782	4.670799	0	0	3	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	CZ	1.804137	2.623887	0	0	2	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	FC4	-0.610191	1.419764	0	0	1	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	C3	4.243765	3.285532	0	0	2	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	FCZ	-3.862645	-1.35654	0	0	1	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	FZ	-4.907612	-3.277284	0	0	0	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	F4	-4.598923	-2.188887	0	0	0	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	FC3	-0.553793	-0.674852	0	0	1	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_stay	F3	-3.553742	-3.239332	0	0	0	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	PZ	6.814716	4.179329	1	0	4	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	P4	8.841207	6.472607	1	0	4	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	CP4	6.653568	6.617768	1	0	3	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	C4	2.776067	5.026077	1	0	2	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	P3	8.604879	4.412866	1	0	4	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	CP3	6.36655	5.067896	1	0	3	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	CPZ	3.659314	4.530164	1	0	3	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	CZ	0.658138	3.324311	1	0	2	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	FC4	-0.17059	3.219377	1	0	1	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	C3	3.719926	3.58511	1	0	2	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	FCZ	-2.487356	1.147059	1	0	1	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	FZ	-2.888373	-0.492233	1	0	0	1	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	F4	-3.231415	0.614596	1	0	0	2	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	FC3	0.088358	0.494735	1	0	1	0	42.6176	169.9955	0.263015122	1.2286988
7	congruent_switch	F3	-2.390258	-1.9075	1	0	0	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	PZ	5.913115	7.735992	0	1	4	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	P4	4.450017	6.195861	0	1	4	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	CP4	1.627295	4.737943	0	1	3	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	C4	-2.02023	1.817233	0	1	2	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	P3	6.793467	6.690033	0	1	4	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	CP3	3.491369	5.147211	0	1	3	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	CPZ	0.57466	4.439044	0	1	3	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	CZ	-3.600112	0.806119	0	1	2	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	FC4	-4.132595	-0.133018	0	1	1	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	C3	0.350445	1.998515	0	1	2	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	FCZ	-6.891726	-3.210674	0	1	1	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	FZ	-7.952809	-4.941804	0	1	0	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	F4	-7.186706	-3.463318	0	1	0	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	FC3	-3.290907	-2.058729	0	1	1	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_stay	F3	-5.789552	-4.504119	0	1	0	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	PZ	5.462677	5.929303	1	1	4	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	P4	6.017938	6.67913	1	1	4	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	CP4	2.87558	4.869686	1	1	3	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	C4	-0.501414	2.488784	1	1	2	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	P3	7.052148	6.328545	1	1	4	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	CP3	3.725471	4.587923	1	1	3	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	CPZ	1.323944	3.449189	1	1	3	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	CZ	-2.369286	0.295032	1	1	2	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	FC4	-2.954628	0.638048	1	1	1	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	C3	0.863664	2.178071	1	1	2	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	FCZ	-4.718759	-1.126276	1	1	1	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	FZ	-5.565221	-2.76066	1	1	0	1	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	F4	-6.137273	-2.35747	1	1	0	2	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	FC3	-2.523393	-0.694408	1	1	1	0	42.6176	169.9955	0.263015122	1.2286988
7	incongruent_switch	F3	-4.873189	-2.65952	1	1	0	0	42.6176	169.9955	0.263015122	1.2286988
8	congruent_stay	PZ	-4.112013	-3.532086	0	0	4	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	P4	3.479377	-0.984446	0	0	4	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	CP4	0.065224	-1.322221	0	0	3	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	C4	-4.537629	-1.333031	0	0	2	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	P3	1.743957	-2.345406	0	0	4	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	CP3	-2.696901	-1.743235	0	0	3	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	CPZ	-4.164416	-3.55623	0	0	3	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	CZ	-4.141301	-3.521889	0	0	2	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	FC4	-7.463804	-2.173678	0	0	1	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	C3	-6.566611	-1.89014	0	0	2	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	FCZ	-11.558104	-5.498754	0	0	1	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	FZ	-11.503274	-5.460875	0	0	0	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	F4	-9.831652	-5.104505	0	0	0	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	FC3	-10.685069	-4.585492	0	0	1	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_stay	F3	-11.446391	-5.664734	0	0	0	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	PZ	2.965062	3.388408	1	0	4	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	P4	9.78394	4.925266	1	0	4	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	CP4	6.198541	4.800961	1	0	3	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	C4	0.835161	4.206047	1	0	2	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	P3	7.008925	2.469932	1	0	4	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	CP3	0.955789	1.608132	1	0	3	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	CPZ	2.867321	3.352368	1	0	3	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	CZ	2.922137	3.391266	1	0	2	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	FC4	-3.852606	1.88099	1	0	1	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	C3	-2.938274	0.706664	1	0	2	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	FCZ	-7.740411	-1.789563	1	0	1	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	FZ	-7.772528	-1.833341	1	0	0	1	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	F4	-7.443107	-2.072381	1	0	0	2	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	FC3	-7.628461	-3.226126	1	0	1	0	72.6511	164.5831	0.266967441	0.8665065
8	congruent_switch	F3	-8.828665	-4.208295	1	0	0	0	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	PZ	-3.026908	-3.916025	0	1	4	1	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	P4	3.338062	-2.246949	0	1	4	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	CP4	0.633393	-1.417038	0	1	3	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	C4	-3.261236	-1.067965	0	1	2	2	72.6511	164.5831	0.266967441	0.8665065
8	incongruent_stay	P3	1.196963	-4.301553	0	1	4	0	72.6511	164.5831	0.266967441	0.8665065
